instance,label
A dull head among windy spaces.,vision
"A fine, pedantic sunshine in a satin vest ",vision
A lonely cab-horse steams and stamps.,vision
"A silence suffuses the story, and a softness the teller’s eye",hearing
And sore must be the storm,touch
Anecdotes of air in dungeons have sometimes proved deadly sweet!,hearing
Ascending from the damp savannas,touch
But just to hear the grace depart,hearing
"But through the water pale and thin 
Still shine the unoffending feet",vision
Cherries suit robins,taste
Crackling with fever,hearing
Dare you see a soul at the white heat?,vision
Defunctive music under sea,hearing
"Demur,--you’re straightway dangerous, and handled with a chain",touch
"Every street lamp that I pass 
Beats like a fatalistic drum",hearing
"Except when a street piano, mechanical and tired
Reiterates some worn-out common song
With the smell of hyacinths across the garden",hearing
Faced by the snarled and yelping seas.,hearing
"Gull against the wind, in the windy straits 
Of Belle Isle",vision
He is merely flesh and blood.,vision
"Her hand twists a paper rose,
That smells of dust and old Cologne",smell
"Hope is the thing with feathers that perches in the soul, and sings the tune without the words, and never stops at all ",hearing
"How orderly the kitchen ‘d look by night, with just a clock,--",vision
I impair not beauty being mute,vision
"I like to see it lap the miles, and lick the valleys up",taste
I shall wear white flannel trousers,vision
I've heard it in the chillest land,touch
Is entombed so still that only to the ear of God its doom is audible ,hearing
It is a faded meat,vision
"It might be famine all around, I could not miss an ear",taste
"My country need not change her gown, her triple suit as sweet as when ‘t was cut at Lexington, and first pronounced “a fit.”",vision
Nor constellation burn,vision
Nor noticed that the ebbing day flowed silver to the west ,vision
Performing on a harp of gold.,hearing
Sharp pittances of years,touch
Swaddled with darkness,vision
Sweetest in the gale is heard,hearing
"That defies me,--as a hand did try to chalk the sun ",vision
The eagle's golden breakfast,vision
The hands still hug the tardy glass,touch
"The morning comes to consciousness 
Of faint stale smells of beer
From the sawdust-trampled street",smell
"The needle to the north degree wades so, through polar air ",touch
"The ocean's heart too smooth, too blue",vision
The palate of hate departs,taste
"The reminiscence comes
Of sunless dry geraniums",vision
"The secret of its skeleton,
Stiff and white.",vision
The silent man in mocha brown,vision
The silent vertebrate in brown,vision
The yellow fog that rubs its back upon the window-panes,vision
The yellow smoke that rubs its muzzle on the window-panes,vision
These tears are shaken from the wrath-bearing tree.,vision
This is the errand of the eye,vision
Under a windy knob.,vision
"Victory comes late, and is held low to freezing lips too rapt with frost to take it. How sweet it would have tasted, just a drop! ",taste
"Views of the Oxford Colleges
Lay on the table, with the knitting.",vision
Where worried bodies of drowned men drift down in the green silence,vision
White feathers in the snow,vision
Yet to my irritated ear an anodyne so sweet ,hearing
a closet never pierced with crystal eyes,vision
a crow that flies in heaven’s sweetest air,vision
a woman’s face with nature’s own hand painted,vision
and puts apparel on my tatter’d loving,touch
"and you must live, drawn by your own sweet skill",taste
as sweet-season’d showers are to the ground,touch
as those gold candles fix’d in heaven’s air: let them say more that like of hearsay well,vision
clasped the yellow soles of feet,touch
"dumb presagers of my speaking breast, who plead for love, and look for recompense",hearing
hiding thy bravery in their rotten smoke,smell
hushed the shrunken seas,hearing
kissing with golden face the meadows green,touch
"let the rocks 
Groan with continual surges",hearing
more than that tongue that more hath more express’d,hearing
"my love is as fair as any mother’s child, though not so bright",vision
my saucy bark,vision
"my sun one early morn did shine, with all triumphant splendour on my brow",vision
my sweet love’s beauty,vision
"scarcely greet me with that sun, thine eye",vision
sometime too hot the eye of heaven shines,touch
sweet flattery,hearing
"sweet love, renew thy force",taste
that sweet odour,smell
the floors of silent seas.,hearing
the perfumed tincture of the roses,smell
the sessions of sweet silent thought,hearing
the wide world and all her fading sweets,taste
their substance still lives sweet,taste
through heavy sleep on sightless eyes doth stay,vision
"thy hungry eyes, even till they wink with fulness",vision
to hear with eyes belongs to love’s fine wit,hearing
what strained touches rhetoric can lend,touch
your sweet semblance to some other give,taste
