instance,R,H,A,annotator-llm
A dull head under windy rooms.,Yes,Yes,Yes,no
"A delicate, pedantic sunshine in a satin vest.",No,Yes,No,yes
A silence permeates the story and a gentleness the eye of the narrator.,Yes,No,No,yes
And the storm must be painful.,Yes,No,No,no
"But through the pale and thin water, the innocent feet still appear to shine through.",Yes,No,Yes,no
Every street lamp I pass by beats like a fatalistic drum.,Yes,Yes,Yes,yes
"Hope is the thing with feathers that nests itself in the soul, and sings the tune without words and never stops.",Yes,No,No,yes
I do not impair beauty through silence.,No,No,No,no
I heard it in the coldest country.,No,Yes,Yes,no
"The heart of the ocean, too smooth, too blue.",No,No,Yes,yes
"The memory comes from sunless, dry geraniums.",No,Yes,No,no
The yellow fog that rubs its back against the window panes.,Yes,Yes,Yes,yes
The yellow smoke that rubs its snout against the window panes.,Yes,Yes,Yes,no
Under a windy button.,Yes,No,No,no
Where the bodies of drowned men drift down in the green silence.,Yes,Yes,Yes,no
A crow flying in the sweetest sky.,Yes,Yes,Yes,yes
"A woman's face, painted by nature itself.",No,No,No,no
As sweet-spiced rain showers are for the ground.,Yes,Yes,Yes,yes
Hide your courage in their rotten smoke.,Yes,Yes,Yes,no
Calmed the shrunken seas,No,Yes,No,no
"With a golden face, it kisses the meadows green.",No,Yes,No,yes
the beauty of my sweet love,Yes,No,Yes,yes
Sometimes the eye of the sky seems too hot.,No,Yes,No,yes
This sweet scent.,Yes,Yes,Yes,yes
The floors of silent seas.,Yes,Yes,Yes,yes
The sessions of sweet quiet thinking.,Yes,Yes,Yes,yes
The wide world and all its fading sweets.,Yes,Yes,Yes,yes
Your substance still lives sweetly.,Yes,No,No,yes
The subtle humor of love includes hearing with the eyes.,Yes,Yes,Yes,yes
Give your sweet image to someone else.,Yes,Yes,Yes,yes
